"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2y","q2","q1","ls3","a4","soct2","idio2","np1","sgl1","cp6","cp7","cp8","cp13","cp20","it1","cp21a","cp22","cp23","cp24","cp25","cp26","escp27","escp28n","escp29","l1","prot3","jc10","jc13","jc15a","vic1ext","vic1exta","vic1hogar","cpol1","cpol2","cpol3","cpol4","ico2","arm2","vic41","vic43","aoj11","pese1","pese2","aoj17","aoj18","aoj12","b1","b2","b3","b4","b6","b43","b11","b12","b13","b18","b20","b21","b21a","b32","b37","b47a","esb48","paz1","paz4","paz5","m1","m2","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","pn4","w14a","epn3a","epn3b","epn3c","e5","e15","e16","d1","d2","d3","d4","d5","d6","dem11","aut1","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","exc7","diso7","diso8","diso10","diso18","diso14","diso16","diso17","vicbar1","vicbar1f","vicbar3","vicbar4","vicbar4f","vicbar7","vicbar7f","fear10","vic44","vb1","vb2","elsvb2n","elsvb3u","elsvb48","vb10","eref6","pol1","vb20","vb49","clien1na","for5","mil10a","mil10e","dvw1","dvw2","wf1","cct1b","ed","ed2","mov1","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","pr1","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","colorr","sexi","colori","nationality","formatq","sex","year","fecha","lib1","lib4","elsvb12","elsvb13"
"1:432",3,136,6,302,300006,20,1,2,1,1,301,NA,NA,25,2,2,26,2,2,2,4,1,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,2,1,4,1,NA,NA,NA,NA,NA,NA,1,0,3,NA,NA,2,3,3,3,3,3,4,4,6,3,4,3,4,6,3,6,3,4,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,4,5,4,4,3,2,NA,3,3,4,4,3,2,3,4,3,3,2,1,2,2,0,0,NA,0,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,1,1,1,4,NA,2,1,3,3,NA,NA,NA,0,2,3,1,NA,1,0,0,0,0,0,0,1,1,0,0,1,0,5,2,3,3,NA,2,2010,NA,NA,NA,NA,NA
"1:433",3,896,34,306,300034,135,1,1,1,1,301,NA,NA,18,2,1,5,3,3,2,3,1,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,1,3,NA,NA,1,1,3,2,5,2,1,3,6,3,4,3,2,1,3,2,1,2,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,5,4,5,3,1,2,NA,2,3,3,5,1,2,3,5,4,3,1,1,2,2,0,0,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,1,5,4,NA,2,2,3,3,NA,NA,NA,0,1,4,2,NA,1,1,1,0,0,0,0,1,1,0,0,1,0,3,1,4,3,NA,2,2010,NA,NA,NA,NA,NA
"1:434",3,919,35,306,300035,139,1,1,1,1,301,NA,NA,19,2,1,1,2,2,2,2,1,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,3,1,4,5,7,4,5,6,7,4,7,4,5,4,5,7,5,5,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,4,7,4,6,7,2,NA,1,2,2,7,4,1,6,6,4,6,3,1,1,1,0,0,NA,0,0,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,1,1,5,1,4,1,1,1,2,NA,NA,NA,0,7,1,2,NA,1,1,1,2,0,1,0,1,1,1,1,1,0,3,1,3,3,NA,2,2010,NA,NA,NA,NA,NA
"1:435",3,392,18,303,300018,55,1,4,1,1,304,NA,NA,19,1,1,57,2,2,2,2,1,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,4,1,4,5,7,6,7,5,7,7,6,6,6,6,5,6,6,5,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,4,5,4,5,3,2,NA,2,2,4,5,4,5,6,9,5,6,3,5,2,2,0,0,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,1,1,4,NA,2,2,3,3,NA,NA,NA,0,4,2,2,NA,1,1,1,0,0,0,0,1,1,0,0,1,0,6,1,3,3,NA,1,2010,NA,NA,NA,NA,NA
"1:436",3,770,32,306,300032,112,1,1,1,1,301,NA,NA,25,1,2,1,1,1,2,2,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,1,0,2,NA,NA,1,2,3,4,5,4,4,5,7,6,6,4,3,5,3,5,4,5,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,3,6,5,2,5,3,NA,4,4,4,4,2,3,5,5,2,3,5,3,2,2,0,0,NA,0,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,5,2,4,1,2,1,1,3,1,NA,NA,NA,2,2,3,1,NA,1,0,1,0,0,0,0,1,1,0,0,1,1,4,1,3,3,NA,1,2010,NA,NA,NA,NA,NA
"1:437",3,1152,46,308,300046,172,1,3,1,1,302,NA,NA,48,2,4,3,2,3,2,5,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,4,2,4,6,4,5,6,2,6,1,1,1,2,6,1,1,1,1,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,1,7,6,5,4,2,NA,4,4,4,1,1,1,1,2,2,3,1,1,1,2,0,0,NA,NA,NA,NA,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,2,1,5,NA,2,2,4,3,NA,NA,NA,2,4,5,4,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,7,2,3,3,NA,2,2010,NA,NA,NA,NA,NA
"1:438",3,192,7,302,300007,29,2,5,1,1,302,NA,NA,20,1,2,57,2,2,2,4,4,4,4,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,4,2,1,5,6,4,5,6,6,4,5,5,4,5,4,6,5,5,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,4,5,4,5,4,2,NA,3,4,3,6,4,5,6,5,5,5,2,1,1,2,0,0,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,5,2,NA,3,NA,1,2,2,2,NA,NA,NA,0,2,5,1,NA,0,0,1,0,1,0,0,1,0,0,0,1,1,5,1,6,3,NA,1,2010,NA,NA,NA,NA,NA
"1:439",3,1500,64,314,300064,217,2,5,1,1,303,NA,NA,70,1,3,5,2,1,1,2,2,4,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,4,1,1,5,7,6,7,7,7,7,7,6,6,6,7,7,7,4,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,7,6,7,2,3,NA,1,2,1,8,4,1,8,8,5,8,1,1,2,2,0,0,NA,NA,NA,NA,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,2,4,1,2,3,3,NA,NA,NA,6,2,5,1,NA,1,0,1,1,0,1,0,1,1,0,0,1,0,3,1,3,3,NA,1,2010,NA,NA,NA,NA,NA
"1:440",3,778,32,306,300032,113,1,1,1,1,301,NA,NA,32,2,1,1,3,3,2,3,4,2,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,1,0,2,NA,NA,1,2,4,3,7,5,4,5,7,5,6,4,5,6,3,2,4,7,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,5,2,2,2,3,2,NA,4,4,3,5,6,7,7,7,4,5,1,2,2,2,0,0,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,2,1,1,3,NA,2,2,3,3,NA,NA,NA,2,4,5,1,NA,1,0,1,0,0,0,0,1,1,0,0,1,0,4,1,4,3,NA,2,2010,NA,NA,NA,NA,NA
"1:441",3,1142,45,307,300045,171,2,5,1,1,302,NA,NA,27,2,2,5,3,2,2,4,1,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,4,NA,NA,1,2,4,3,2,3,4,6,7,2,1,2,1,1,1,5,2,3,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,3,1,6,4,4,3,NA,3,3,3,10,1,1,10,10,10,10,10,6,1,2,0,0,NA,0,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,2,1,1,1,1,1,2,2,2,NA,NA,NA,0,2,1,1,NA,1,1,1,1,1,0,0,1,0,1,1,1,0,3,2,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:442",3,1048,41,306,300041,160,1,3,1,1,303,NA,NA,26,1,2,3,2,3,1,3,3,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,3,1,3,4,5,4,5,5,7,5,6,4,5,2,4,6,6,5,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,5,7,6,4,6,2,NA,2,3,1,5,3,7,5,10,5,5,3,1,2,2,0,0,NA,NA,0,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,5,1,5,1,2,2,2,2,2,NA,NA,NA,1,2,4,1,NA,1,0,1,0,0,0,0,1,1,0,0,1,1,5,1,6,3,NA,1,2010,NA,NA,NA,NA,NA
"1:443",3,217,8,302,300008,32,2,5,1,1,302,NA,NA,72,1,4,1,3,2,2,1,1,3,3,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,4,1,3,3,7,6,5,6,7,6,7,7,7,7,6,7,6,6,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,3,7,4,4,4,2,NA,2,2,1,5,1,2,1,3,4,5,1,1,2,2,0,0,NA,NA,1,NA,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,4,2,2,4,3,NA,NA,NA,0,2,5,2,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,6,3,NA,1,2010,NA,NA,NA,NA,NA
"1:444",3,1009,38,306,300038,155,2,5,1,1,302,NA,NA,18,1,2,5,1,2,2,3,1,4,4,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,2,3,1,3,3,4,2,5,5,4,4,4,3,2,3,4,2,2,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,5,7,2,4,3,NA,3,3,4,5,4,2,7,8,7,7,6,2,2,2,0,1,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,2,1,5,4,NA,2,2,3,2,NA,NA,NA,0,2,2,2,NA,1,0,1,0,0,0,0,1,0,0,0,1,0,3,2,3,3,NA,1,2010,NA,NA,NA,NA,NA
"1:445",3,222,8,302,300008,32,2,5,1,1,302,NA,NA,38,2,2,4,2,2,2,4,1,2,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,4,NA,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,7,2,6,2,2,NA,3,3,1,1,10,4,10,10,1,1,3,1,1,2,0,0,NA,0,NA,NA,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,1,1,5,NA,2,2,4,2,NA,NA,NA,5,1,5,2,NA,0,1,1,0,0,0,0,1,0,0,0,1,0,3,2,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:446",3,441,19,303,300019,60,2,5,1,1,304,NA,NA,40,2,3,5,2,3,2,3,1,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,4,NA,NA,1,1,1,4,5,6,6,7,7,6,6,7,5,7,4,7,6,4,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,7,7,6,6,4,2,NA,1,3,3,8,9,1,6,4,5,4,7,1,2,2,0,0,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,1,1,5,NA,2,2,4,2,NA,NA,NA,1,3,5,4,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:447",3,1298,54,312,300054,190,1,2,1,1,301,NA,NA,54,1,2,5,3,3,2,2,4,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,2,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,2,1,4,4,7,4,1,7,7,7,7,5,6,6,7,1,7,7,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,1,7,1,7,2,NA,2,2,3,1,1,10,1,1,1,6,1,1,1,2,0,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,3,1,1,6,NA,2,2,1,1,NA,NA,NA,2,2,5,1,NA,1,1,1,0,0,0,0,1,1,0,0,1,0,3,1,4,3,NA,1,2010,NA,NA,NA,NA,NA
"1:448",3,913,34,306,300034,138,1,1,1,1,301,NA,NA,34,2,1,57,3,3,2,2,1,4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,1,0,2,NA,NA,4,3,3,3,2,2,1,4,7,1,5,2,3,3,1,6,6,4,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,4,7,6,2,4,3,NA,4,4,2,4,2,2,5,7,5,5,3,1,2,2,0,0,NA,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,1,6,1,1,2,2,3,3,NA,NA,NA,2,2,4,1,NA,1,1,1,1,0,1,0,1,1,1,0,1,0,5,2,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:449",3,962,36,306,300036,147,1,1,1,1,301,NA,NA,21,2,2,5,2,2,2,2,1,4,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,3,NA,NA,2,2,4,2,6,1,4,4,5,2,3,1,2,5,4,2,4,1,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,4,7,4,4,5,3,NA,3,2,4,10,10,10,5,8,6,6,1,1,2,2,0,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,1,1,2,4,NA,2,1,3,1,NA,NA,NA,0,2,1,1,NA,1,1,1,0,0,1,0,1,1,1,1,1,0,3,1,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:450",3,155,6,302,300006,24,1,2,1,1,301,NA,NA,55,1,2,5,3,3,2,4,4,4,4,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,4,NA,NA,2,1,3,3,3,3,4,6,7,5,5,4,3,7,3,3,3,6,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,4,4,6,2,5,2,NA,3,3,3,8,5,1,3,4,3,3,1,1,1,2,0,0,NA,NA,0,NA,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,2,1,1,1,4,2,2,4,3,NA,NA,NA,2,1,5,1,NA,1,0,1,0,1,0,0,1,1,0,0,1,0,3,1,6,3,NA,1,2010,NA,NA,NA,NA,NA
"1:451",3,111,6,302,300006,16,1,2,1,1,301,NA,NA,66,1,1,5,3,2,2,3,1,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,4,3,4,4,6,4,6,7,7,5,7,6,5,6,4,6,6,5,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,6,6,4,6,1,NA,1,1,3,7,3,3,3,5,4,6,2,1,2,2,0,0,NA,0,NA,NA,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,1,1,5,6,NA,1,2,1,3,NA,NA,NA,8,1,5,1,NA,1,1,0,0,0,0,0,1,1,0,0,1,1,7,2,4,3,NA,1,2010,NA,NA,NA,NA,NA
"1:452",3,49,2,301,300002,7,2,5,1,1,303,NA,NA,48,2,3,5,3,2,2,4,1,2,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,3,NA,NA,3,NA,1,4,5,6,7,3,7,4,6,3,4,1,NA,7,7,3,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,3,6,4,3,3,2,NA,4,4,3,2,1,7,6,7,8,6,5,1,1,2,0,0,NA,NA,NA,NA,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,5,5,NA,1,2,3,2,NA,NA,NA,7,4,5,1,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,6,1,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:453",3,1169,47,308,300047,174,1,3,1,1,303,NA,NA,37,2,2,5,3,2,2,2,4,2,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,3,NA,NA,4,1,3,7,7,6,7,7,7,5,7,6,6,1,6,7,5,6,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,7,5,6,6,5,2,NA,2,3,3,7,6,7,7,7,6,7,6,1,2,2,0,0,NA,NA,0,NA,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,2,4,1,2,2,2,3,2,NA,NA,NA,3,2,5,1,NA,0,0,1,0,0,0,0,1,0,0,0,1,0,4,2,3,3,NA,2,2010,NA,NA,NA,NA,NA
"1:454",3,323,14,303,300014,46,1,3,1,1,302,NA,NA,20,1,3,5,2,2,2,3,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,1,3,3,4,5,5,5,6,7,1,7,3,6,7,6,5,3,5,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,1,6,7,7,5,3,NA,3,3,3,10,10,10,10,3,7,3,1,1,1,2,0,0,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,2,1,NA,2,NA,NA,NA,0,2,5,2,NA,1,1,1,0,0,0,0,1,1,0,0,1,0,3,1,6,3,NA,1,2010,NA,NA,NA,NA,NA
"1:455",3,1437,60,313,300060,209,1,4,1,1,304,NA,NA,41,2,2,5,3,2,2,2,4,2,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,4,1,1,7,7,5,5,5,7,5,5,6,5,4,6,7,6,5,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,5,5,5,6,6,2,NA,3,3,2,10,4,4,5,5,3,4,6,5,1,2,0,0,NA,NA,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,1,5,1,4,2,2,3,2,NA,NA,NA,4,2,5,2,NA,1,0,1,0,0,0,0,1,1,0,0,1,0,7,1,3,3,NA,2,2010,NA,NA,NA,NA,NA
"1:456",3,607,30,305,300030,84,2,5,1,1,304,NA,NA,21,1,1,3,3,3,2,2,1,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,4,1,1,5,4,6,7,7,7,6,5,5,7,7,7,3,7,4,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,1,7,3,4,6,3,NA,3,1,4,4,3,6,7,5,4,8,1,1,1,1,0,0,NA,NA,NA,NA,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,2,1,1,7,NA,1,1,4,3,NA,NA,NA,0,7,5,1,NA,1,1,1,0,1,0,0,1,0,1,0,1,1,4,2,5,3,NA,1,2010,NA,NA,NA,NA,NA
"1:457",3,1515,65,314,300065,219,2,5,1,1,304,NA,NA,33,1,2,5,3,2,1,3,1,2,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,4,NA,NA,4,3,1,5,4,6,7,7,7,6,7,7,6,7,5,6,7,4,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,5,3,3,4,2,2,NA,1,3,3,2,2,1,4,3,2,5,7,2,2,2,1,0,NA,NA,NA,NA,0,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,1,1,3,NA,1,1,2,2,NA,NA,NA,0,2,5,2,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,3,2,4,3,NA,1,2010,NA,NA,NA,NA,NA
"1:458",3,257,10,302,300010,36,2,5,1,1,303,NA,NA,36,2,2,2,2,3,2,2,4,2,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,4,2,2,5,7,2,6,4,7,5,7,5,6,1,3,6,7,7,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,6,6,6,2,3,2,NA,1,2,1,5,3,9,6,5,1,4,3,1,2,2,0,0,NA,0,0,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,1,1,1,4,2,2,2,1,NA,NA,NA,3,2,5,1,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,7,2,3,3,NA,2,2010,NA,NA,NA,NA,NA
"1:459",3,662,31,306,300031,92,1,1,1,1,301,NA,NA,25,2,1,5,3,3,2,3,1,2,2,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,4,NA,NA,1,2,4,1,7,1,1,7,7,1,1,1,1,5,1,1,3,3,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,1,7,3,1,3,4,NA,4,4,4,8,1,3,8,8,2,2,1,6,2,2,0,0,NA,0,NA,NA,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,2,1,1,3,NA,2,2,2,2,NA,NA,NA,2,1,5,1,NA,1,0,1,0,0,0,0,1,1,0,0,1,0,4,1,6,3,NA,2,2010,NA,NA,NA,NA,NA
