"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2y","q2","q1","ls3","a4","soct2","idio2","np1","np2","muni10","sgl1","honmun37","honmun38","honmun39","honmun40","honmun41","honmun42","cp5","cp6","cp7","cp8","cp13","cp20","honcp22","honcp21a","it1","l1","prot3","jc10","jc13","jc15a","vic1ext","vic1exta","vic1hogar","arm2","vic41","vic43","ico2","aoj11","pese1","pese2","aoj17","aoj12","b1","b2","b3","b4","b6","b10a","b11","b43","b12","b13","b18","b20","b20a","b21","b21a","b32","b37","b47a","b14","b15","b19","b46","honb51","mil1","b3milx","pr3e","honqt1","honqt2","honqt3","honqt4","honqt5","honqt6","honqt7","honqt8","honqt9","honqt10","honqt11","honqt12","m1","m2","honm3","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","mil7","pn4","w14a","e5","e15","e16","d1","d2","d3","d4","d5","d6","honjc17","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","vicbar1","vicbar1f","vicbar3","vicbar4","vicbar7","vic44","fear6f","vb1","vb2","vb10","pol1","vb20","for5","mil10a","mil10e","wf1","cct1b","ed","ed2","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","r26","inf3a","colorr","sexi","colori","nationality","formatq","sex","year","fecha","lib1","lib4"
"1:1",4,667,40403,404,400403,73,1,3,1,1,403,NA,NA,60,1,1,13,2,2,2,2,NA,3,2,NA,NA,NA,NA,NA,4,1,4,4,4,NA,NA,NA,3,8,2,2,2,2,1,1,2,NA,0,0,NA,3,NA,NA,2,4,5,5,4,4,5,1,4,7,4,4,4,5,7,4,5,5,4,NA,5,5,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,4,5,4,1,3,NA,3,NA,5,5,5,5,5,4,5,1,1,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,4,1,NA,NA,NA,NA,NA,6,NA,1,1,2,6,NA,2,2,3,2,NA,NA,NA,5,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,3,1,5,4,NA,1,2010,NA,NA,NA
"1:2",4,23,40101,401,400101,2,2,5,1,1,401,NA,NA,65,2,1,4,3,3,2,2,NA,3,2,NA,NA,NA,NA,NA,3,1,3,4,3,2,NA,NA,3,5,1,2,2,2,2,NA,2,NA,0,0,NA,3,NA,NA,2,3,3,7,3,4,7,3,3,7,3,2,2,7,4,3,1,4,4,NA,1,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,7,5,5,1,7,NA,3,NA,7,1,3,10,7,7,5,1,1,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,5,NA,1,1,1,6,NA,2,2,4,3,NA,NA,NA,5,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,4,2,4,4,NA,2,2010,NA,NA,NA
"1:3",4,1341,41903,419,401903,138,2,5,1,1,407,NA,NA,26,1,2,4,2,2,1,1,0,1,1,1,2,2,1,2,1,2,4,3,4,NA,NA,NA,1,9,2,1,1,2,2,NA,2,NA,0,0,NA,1,NA,NA,4,3,7,5,6,7,7,7,5,7,6,7,7,7,7,4,5,7,7,NA,7,5,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,7,7,1,5,7,NA,1,NA,5,4,5,6,8,5,10,10,4,1,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,2,2,4,NA,NA,NA,NA,NA,6,NA,2,1,2,1,4,2,2,2,2,NA,NA,NA,0,2,5,1,0,1,1,0,0,1,0,1,1,0,0,1,0,NA,NA,4,1,4,4,NA,1,2010,NA,NA,NA
"1:4",4,906,40604,406,400604,97,1,4,1,1,404,NA,NA,22,2,1,4,2,2,2,2,NA,3,2,NA,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,2,5,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,2,2,7,4,5,4,5,3,4,6,5,4,5,5,4,4,4,5,7,NA,5,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,4,4,5,4,6,NA,1,NA,5,6,5,5,4,5,6,4,5,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,2,1,NA,NA,NA,NA,NA,8,NA,2,1,1,5,NA,2,2,2,2,NA,NA,NA,0,2,5,1,1,1,1,0,0,0,0,1,1,0,0,1,0,NA,NA,7,1,4,4,NA,2,2010,NA,NA,NA
"1:5",4,1289,41803,418,401803,134,2,5,1,1,407,NA,NA,20,1,2,13,2,3,2,2,NA,2,2,NA,NA,NA,NA,NA,4,1,2,2,3,NA,NA,NA,2,4,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,3,3,4,5,5,4,4,4,4,7,4,4,6,4,7,4,5,4,4,NA,5,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,5,5,5,4,3,NA,3,NA,5,1,4,4,4,3,3,5,1,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,1,2,3,2,NA,NA,NA,NA,NA,6,NA,1,1,2,1,5,2,2,4,3,NA,NA,NA,0,1,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,3,2,4,4,NA,1,2010,NA,NA,NA
"1:6",4,1503,42104,421,402104,154,2,5,1,1,409,NA,NA,25,1,1,5,3,3,2,2,NA,2,2,NA,NA,NA,NA,NA,4,4,3,4,4,NA,NA,NA,4,10,2,1,1,1,2,NA,2,NA,0,1,NA,1,NA,NA,4,NA,4,7,4,4,1,4,4,7,7,1,1,7,7,1,7,1,1,NA,7,7,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,7,7,NA,1,1,NA,2,NA,10,10,1,10,1,10,3,1,1,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,2,2,2,4,1,NA,NA,NA,NA,NA,0,NA,5,2,NA,1,4,2,2,2,2,NA,NA,NA,3,4,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,6,2,3,4,NA,1,2010,NA,NA,NA
"1:7",4,1335,41902,419,401902,137,2,5,1,1,407,NA,NA,52,2,2,2,2,2,2,2,NA,3,2,NA,NA,NA,NA,NA,4,1,4,1,3,4,NA,NA,2,6,2,1,2,1,2,NA,2,NA,0,0,NA,1,NA,NA,4,1,7,7,3,4,3,4,3,3,4,3,4,5,4,4,4,4,4,NA,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,2,2,3,NA,NA,NA,NA,NA,5,NA,2,1,1,5,NA,1,2,1,2,NA,NA,NA,3,2,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,4,1,4,4,NA,2,2010,NA,NA,NA
"1:8",4,1144,41303,413,401303,119,2,5,1,1,406,NA,NA,18,2,2,58,2,2,2,2,NA,4,2,NA,NA,NA,NA,NA,2,2,3,4,4,4,NA,NA,3,5,2,2,NA,NA,2,NA,1,NA,NA,0,NA,2,NA,NA,3,3,4,5,4,5,5,4,4,5,6,4,3,5,5,4,5,5,5,NA,4,4,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,4,4,4,3,3,NA,3,NA,5,5,5,3,5,4,5,4,4,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,NA,3,3,NA,NA,NA,NA,NA,6,NA,3,1,2,5,NA,2,2,3,2,NA,NA,NA,0,1,4,1,1,1,1,0,0,0,0,1,1,0,0,1,0,NA,NA,2,1,3,4,NA,2,2010,NA,NA,NA
"1:9",4,34,40102,401,400102,3,2,5,1,1,401,NA,NA,47,1,3,4,3,1,2,2,NA,3,2,NA,NA,NA,NA,NA,1,2,2,2,4,NA,NA,NA,2,5,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,3,3,5,6,4,5,6,4,5,4,5,4,4,3,3,3,3,4,4,NA,4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,7,7,2,1,5,NA,3,NA,5,6,5,5,4,5,4,1,1,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,4,1,NA,NA,NA,NA,NA,3,NA,2,1,1,NA,NA,2,2,3,3,NA,NA,NA,6,2,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,7,2,3,4,NA,1,2010,NA,NA,NA
"1:10",4,372,40201,402,400201,40,1,3,1,1,402,NA,NA,81,2,2,5,NA,1,1,1,1,3,2,NA,NA,NA,NA,NA,4,3,4,4,4,4,NA,NA,1,7,2,2,2,2,1,5,1,NA,0,0,NA,2,NA,NA,1,2,4,4,4,3,4,5,5,7,4,6,4,4,7,1,2,2,2,NA,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,7,7,4,5,5,NA,2,NA,5,5,5,10,10,10,10,10,1,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,1,1,1,NA,NA,NA,NA,NA,12,NA,3,1,1,5,NA,1,2,3,2,NA,NA,NA,5,1,5,1,1,1,1,0,0,0,0,1,0,0,0,1,0,NA,NA,3,1,4,4,NA,2,2010,NA,NA,NA
