,sex,age,read_write,head_house,home_dept,home_city,mex_port,trans_crossm,coyote_usd,first_state,first_city,second_state,second_city,long_state,long_city,us_entry,trans_crossu,reason,fellow_trav
0,Hombre,47,Sí,Sí,Choluteca,San Antonio de Flores,La Mesilla,Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Puebla,Heróica Puebla de Zaragoza (Puebla),San Luis Potosí,San Luis Potosí (San Luis Potosí),Nuevo León,Monterrey (Nuevo León),Nuevo Laredo (Tamaulipas),Ninguno (caminando o nadando),Buscar trabajo,Ninguna
1,Hombre,19,Sí,No,Francisco Morazán,San Antonio de Oriente,Tecún Umán,Autobús o camioneta,2500,Tamaulipas,Reynosa (Tamaulipas),Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,5
2,Hombre,24,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,San Miguelito,Tecún Umán,Autobús o camioneta,3000,Distrito Federal,No especificado,Nuevo León,Monterrey (Nuevo León),Nuevo León,Monterrey (Nuevo León),Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Estudiar,8
3,Hombre,18,Sí,No,Francisco Morazán,San Antonio de Oriente,La Mesilla,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Puebla,Heróica Puebla de Zaragoza (Puebla),Nuevo León,Monterrey (Nuevo León),Puebla,Heróica Puebla de Zaragoza (Puebla),Nuevo Laredo (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,2
4,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,617,Tecún Umán,Autobús o camioneta,3000,Distrito Federal,Benito Juárez (Distrito Federal),Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Nuevo León,Monterrey (Nuevo León),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Estudiar,6
5,Hombre,23,Sí,Sí,Islas de la Bahía,1111,Gracias a Dios,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Distrito Federal,No especificado,Tamaulipas,Ciudad Miguel Alemán (Tamaulipas),Tamaulipas,Ciudad Miguel Alemán (Tamaulipas),Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,1
6,Hombre,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,La Paz,Cane,Gracias a Dios,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Tuxtla Gutiérrez (Chiapas),Tabasco,Villahermosa (Tabasco),Distrito Federal,No especificado,Piedras Negras (Coahuila de Zaragoza),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,2
7,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Copan,San Jerónimo,La Mesilla,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Nuevo León,Monterrey (Nuevo León),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
8,Hombre,32,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Copan,San Jerónimo,Tecún Umán,Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Chiapa de Corzo (Chiapas),Veracruz de Ignacio de la Llave,Tierra Blanca (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
9,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,San Miguelito,La Mesilla,Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Arriaga (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Reunirse con familiares,4
10,Hombre,34,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Francisco Morazán,San Miguelito,La Mesilla,Autobús o camioneta,800,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Nuevo León,Monterrey (Nuevo León),Nuevo León,Monterrey (Nuevo León),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,16
11,Hombre,24,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Choluteca,Marcovia,Tecún Umán,Autobús o camioneta,8500,Chiapas,Arriaga (Chiapas),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Heroica Matamoros (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Reunirse con familiares,Ninguna
12,Hombre,25,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Atlántida,Tela,No especificado,Autobús o camioneta,4000,Nuevo León,Monterrey (Nuevo León),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,25
13,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Islas de la Bahía,1108,Tecún Umán,Autobús o camioneta,4000,Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,6
14,Hombre,28,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Colón,Bonito Oriental,El Ceibo,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Arriaga (Chiapas),Puebla,Heróica Puebla de Zaragoza (Puebla),Puebla,Zacatlán (Puebla),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
15,Hombre,26,Sí,Sí,Francisco Morazán,San Miguelito,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Distrito Federal,Álvaro Obregón (Distrito Federal),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
16,Hombre,45,Sí,No,Cortés,Omoa,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,No sabe,No sabe,No sabe,No sabe,No sabe,No sabe,Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
17,Hombre,22,No,No,Atlántida,Arizona,No sabe,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Chiapas,Arriaga (Chiapas),Nuevo León,Monterrey (Nuevo León),Nuevo Laredo (Tamaulipas),Ninguno (caminando o nadando),Trabajar,3
18,Hombre,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,La Paz,Santa María,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Puebla,Heróica Puebla de Zaragoza (Puebla),Nuevo León,Monterrey (Nuevo León),Sonoyta (Sonora),Ninguno (caminando o nadando),Trabajar,Ninguna
19,Hombre,36,Sí,Sí,Vive en EUA,Vive en EUA,El Ceibo,Autobús o camioneta,3500,Tabasco,Cárdenas (Tabasco),Chiapas,Tuxtla Gutiérrez (Chiapas),Distrito Federal,Coyoacán (Distrito Federal),Altar (Sonora),Ninguno (caminando o nadando),Trabajar,Ninguna
20,Hombre,29,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Vive en EUA,Vive en EUA,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Tuxtla Gutiérrez (Chiapas),Nuevo León,Monterrey (Nuevo León),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
21,Hombre,30,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Choluteca,Choluteca,Tecún Umán,Autobús o camioneta,4000,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Distrito Federal,Coyoacán (Distrito Federal),Nuevo León,Monterrey (Nuevo León),Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),Automóvil particular,Trabajar,Ninguna
22,Hombre,29,Sí,Sí,Vive en EUA,Vive en EUA,Gracias a Dios,Autobús o camioneta,4000,Distrito Federal,Álvaro Obregón (Distrito Federal),Jalisco,Guadalajara (Jalisco),Chiapas,Tuxtla Gutiérrez (Chiapas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
23,Hombre,19,Sí,No,Colón,Iriona,Tecún Umán,Autobús o camioneta,3000,Quintana Roo,Cancún (Quintana Roo),Nuevo León,Monterrey (Nuevo León),Nuevo León,Monterrey (Nuevo León),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
24,Hombre,25,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Vive en EUA,Vive en EUA,Tecún Umán,Autobús o camioneta,3000,Chiapas,Tuxtla Gutiérrez (Chiapas),Distrito Federal,Coyoacán (Distrito Federal),Nuevo León,Monterrey (Nuevo León),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
25,Hombre,37,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,Marcovia,Tecún Umán,Autobús o camioneta,2500,Chiapas,Las Rosas (Chiapas),Distrito Federal,Coyoacán (Distrito Federal),Distrito Federal,Coyoacán (Distrito Federal),Reynosa (Tamaulipas),Automóvil particular,Buscar trabajo,Ninguna
26,Hombre,33,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Vive en EUA,Vive en EUA,La Mesilla,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Pijijiapan (Chiapas),Distrito Federal,Iztapalapa (Distrito Federal),Nuevo León,Monterrey (Nuevo León),Reynosa (Tamaulipas),Automóvil particular,Buscar trabajo,Ninguna
27,Hombre,27,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,El Paraíso,Teupasenti,Tecún Umán,Autobús o camioneta,8000,Chiapas,Chiapa de Corzo (Chiapas),Distrito Federal,Iztacalco (Distrito Federal),Distrito Federal,Iztacalco (Distrito Federal),Juárez (Chihuahua),Automóvil particular,Buscar trabajo,Ninguna
28,Hombre,40,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Vive en EUA,Vive en EUA,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Ocosingo (Chiapas),Puebla,Acajete (Puebla),Distrito Federal,Coyoacán (Distrito Federal),Juárez (Chihuahua),Autobús o camioneta,Buscar trabajo,Ninguna
29,Hombre,24,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Cortés,Omoa,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Palenque (Chiapas),Veracruz de Ignacio de la Llave,Agua Dulce (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Automóvil particular,Buscar trabajo,Ninguna
30,Hombre,54,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,619,Tecún Umán,Autobús o camioneta,3000,Puebla,Casa Blanca (Puebla),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Automóvil particular,Reunirse con familiares,Ninguna
31,Hombre,20,Sí,No,Cortés,San Manuel,Tecún Umán,Autobús o camioneta,2500,Chiapas,Huixtla (Chiapas),Guanajuato,Abasolo (Guanajuato),Distrito Federal,Coyoacán (Distrito Federal),Reynosa (Tamaulipas),Automóvil particular,Buscar trabajo,Ninguna
32,Hombre,24,Sí,Sí,Islas de la Bahía,Roatán,La Mesilla,Automóvil/Motocicleta particular,4000,Chiapas,Chiapa de Corzo (Chiapas),Tabasco,Villahermosa (Tabasco),Nuevo León,Monterrey (Nuevo León),Nuevo Laredo (Tamaulipas),Ninguno (caminando o nadando),Buscar trabajo,10
33,Hombre,32,Sí,Sí,Comayagua,Comayagua,Tecún Umán,"Balsas (cámaras de llanta, tambos, maderos)",No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Arriaga (Chiapas),Oaxaca,Ciudad Ixtepec (Oaxaca),Distrito Federal,Álvaro Obregón (Distrito Federal),Heroica Matamoros (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
34,Hombre,23,Sí,Sí,Cortés,San Francisco de Yojoa,Gracias a Dios,Ninguno (caminando o nadando),9500,Chiapas,Arriaga (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Nuevo León,Monterrey (Nuevo León),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,12
35,Hombre,22,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Atlántida,Arizona,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Buscar trabajo,10
36,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Islas de la Bahía,1118,Tecún Umán,Autobús o camioneta,3500,Chiapas,Tuxtla Gutiérrez (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,15
37,Hombre,34,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Intubucá,La Esperanza,Gracias a Dios,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Buscar trabajo,10
38,Hombre,37,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Atlántida,110,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Tamaulipas,Reynosa (Tamaulipas),Nuevo León,Monterrey (Nuevo León),Nuevo León,Monterrey (Nuevo León),Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
39,Hombre,18,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,San Antonio de Flores,Gracias a Dios,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,5
40,Hombre,22,Sí,No,Gracias a Dios,Ahuas,Gracias a Dios,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Puebla,Casa Blanca (Puebla),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,5
41,Mujer,24,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Choluteca,San José,La Mesilla,Autobús o camioneta,4000,Distrito Federal,Coyoacán (Distrito Federal),Nuevo León,Monterrey (Nuevo León),Chiapas,Chiapa de Corzo (Chiapas),Piedras Negras (Coahuila de Zaragoza),Ninguno (caminando o nadando),Reunirse con familiares,Ninguna
42,Mujer,24,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Choluteca,San Isidro,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Puebla,Heróica Puebla de Zaragoza (Puebla),Chiapas,Tonalá (Chiapas),Puebla,Heróica Puebla de Zaragoza (Puebla),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,3
43,Hombre,22,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,619,Naranjo,Autobús o camioneta,3500,Chiapas,Chiapa de Corzo (Chiapas),Veracruz de Ignacio de la Llave,Acayucan (Veracruz de Ignacio de la Llave),Tabasco,Villahermosa (Tabasco),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,4
44,Hombre,22,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,El Paraíso,Teupasenti,No sabe,Autobús o camioneta,No sabe,No sabe,No sabe,No sabe,No sabe,No sabe,No sabe,Reynosa (Tamaulipas),Tráiler o camión de carga,Trabajar,Ninguna
45,Hombre,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Comayagua,Esquías,Gracias a Dios,Autobús o camioneta,No sabe,Tabasco,Villahermosa (Tabasco),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,11
46,Hombre,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Intubucá,La Esperanza,La Técnica,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Acayucan (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,5
47,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Francisco Morazán,Ojojona,No sabe,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Distrito Federal,Álvaro Obregón (Distrito Federal),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,1
48,Hombre,36,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Ocotepeque,Lucerna,El Carmen,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
49,Hombre,23,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Comayagua,La Libertad,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Arriaga (Chiapas),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,3
50,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Comayagua,La Libertad,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Oaxaca,Ciudad Ixtepec (Oaxaca),Distrito Federal,Álvaro Obregón (Distrito Federal),Distrito Federal,Álvaro Obregón (Distrito Federal),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,3
51,Hombre,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,La Paz,San Pedro de Tutule,No sabe,Autobús o camioneta,5000,Tabasco,Villahermosa (Tabasco),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,7
52,Hombre,38,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Ocotepeque,Concepción,No sabe,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,No sabe,No sabe,No sabe,No sabe,No sabe,No sabe,Reynosa (Tamaulipas),Lancha o embarcación en el río,Trabajar,2
53,Hombre,26,Sí,No,Ocotepeque,Fraternidad,No sabe,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Distrito Federal,Álvaro Obregón (Distrito Federal),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Lancha o embarcación en el río,Reunirse con familiares,No sabe
54,Hombre,44,Sí,Sí,Islas de la Bahía,Guanaja,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Puebla,Heróica Puebla de Zaragoza (Puebla),Nuevo León,Monterrey (Nuevo León),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Automóvil particular,Trabajar,4
55,Hombre,34,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Colón,Iriona,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Arriaga (Chiapas),Distrito Federal,Álvaro Obregón (Distrito Federal),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Lancha o embarcación en el río,Trabajar,Ninguna
56,Hombre,45,Sí,Sí,Vive en EUA,Vive en EUA,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Tuxtla Gutiérrez (Chiapas),Veracruz de Ignacio de la Llave,Acayucan (Veracruz de Ignacio de la Llave),Nuevo León,Monterrey (Nuevo León),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
57,Mujer,43,Sí,No,Atlántida,Esparta,Tecún Umán,Autobús o camioneta,4000,Nuevo León,Monterrey (Nuevo León),Distrito Federal,Coyoacán (Distrito Federal),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,1
58,Mujer,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Gracias a Dios,Ahuas,Tecún Umán,Autobús o camioneta,4000,Distrito Federal,Coyoacán (Distrito Federal),Veracruz de Ignacio de la Llave,Acayucan (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
59,Mujer,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Cortés,515,Tecún Umán,Autobús o camioneta,4000,Chiapas,Arriaga (Chiapas),Distrito Federal,Coyoacán (Distrito Federal),Nuevo León,Monterrey (Nuevo León),Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
60,Mujer,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Cortés,La Lima,Gracias a Dios,Autobús o camioneta,4000,Tamaulipas,Reynosa (Tamaulipas),Distrito Federal,Coyoacán (Distrito Federal),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
61,Mujer,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Ocotepeque,Lucerna,El Ceibo,Autobús o camioneta,4500,Tabasco,Tenosique de Pino Suárez (Tabasco),Distrito Federal,Benito Juárez (Distrito Federal),Nuevo León,Monterrey (Nuevo León),Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),Ninguno (caminando o nadando),Trabajar,1
62,Mujer,23,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Cortés,Omoa,Gracias a Dios,Autobús o camioneta,4000,Chiapas,Tuxtla Gutiérrez (Chiapas),Veracruz de Ignacio de la Llave,Acayucan (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,10
63,Mujer,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Copan,San José,Gracias a Dios,Autobús o camioneta,4000,Chiapas,Tuxtla Gutiérrez (Chiapas),Distrito Federal,Coyoacán (Distrito Federal),Nuevo León,Monterrey (Nuevo León),Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
64,Mujer,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Copan,Florida,Tecún Umán,Autobús o camioneta,4000,Chiapas,Tuxtla Gutiérrez (Chiapas),Nuevo León,Monterrey (Nuevo León),Quintana Roo,Cancún (Quintana Roo),Nuevo Laredo (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
65,Mujer,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Comayagua,Comayagua,Tecún Umán,Autobús o camioneta,4500,Chiapas,Tuxtla Gutiérrez (Chiapas),Distrito Federal,Coyoacán (Distrito Federal),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
66,Mujer,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,Maraita,Tecún Umán,Autobús o camioneta,4500,Chiapas,Chiapa de Corzo (Chiapas),Nuevo León,Monterrey (Nuevo León),Chiapas,Tuxtla Gutiérrez (Chiapas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,1
67,Hombre,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Colón,Santa Rosa de Aguán,La Mesilla,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Mapastepec (Chiapas),Distrito Federal,Iztacalco (Distrito Federal),San Luis Potosí,Cárdenas (San Luis Potosí),Piedras Negras (Coahuila de Zaragoza),Automóvil particular,Buscar trabajo,Ninguna
68,Hombre,25,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Copan,La Unión,Tecún Umán,Autobús o camioneta,4000,Chiapas,Reforma (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Automóvil particular,Buscar trabajo,Ninguna
