,sex,age,read_write,head_house,home_dept,home_city,mex_port,trans_crossm,coyote_usd,first_state,first_city,second_state,second_city,long_state,long_city,us_entry,trans_crossu,reason,fellow_trav
4265,Hombre,34,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Atlántida,Tela,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Nuevo León,Monterrey (Nuevo León),Tamaulipas,Heroica Matamoros (Tamaulipas),Tamaulipas,Heroica Matamoros (Tamaulipas),Heroica Matamoros (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4266,Hombre,24,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Vive en EUA,Vive en EUA,No sabe,Autobús o camioneta,6000,Tamaulipas,Reynosa (Tamaulipas),Chiapas,Chiapa de Corzo (Chiapas),Distrito Federal,No especificado,Reynosa (Tamaulipas),Ninguno (caminando o nadando),Buscar trabajo,Ninguna
4267,Hombre,26,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,Choluteca,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Nuevo León,Monterrey (Nuevo León),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4268,Hombre,55,Sí,Sí,Francisco Morazán,Distrito Central,Tecún Umán,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Coahuila de Zaragoza,Piedras Negras (Coahuila de Zaragoza),Coahuila de Zaragoza,Piedras Negras (Coahuila de Zaragoza),Piedras Negras (Coahuila de Zaragoza),Ninguno (caminando o nadando),Buscar trabajo,Ninguna
4269,Hombre,22,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Yoro,Yoro,Naranjo,Autobús o camioneta,7000,Nuevo León,Monterrey (Nuevo León),Jalisco,Guadalajara (Jalisco),San Luis Potosí,Saltillo (Coahuila de Zaragoza),Nuevo Laredo (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4270,Hombre,25,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Choluteca,Santa Ana de Yusguare,Naranjo,Autobús o camioneta,7000,San Luis Potosí,San Luis Potosí (San Luis Potosí),Chiapas,Chiapa de Corzo (Chiapas),Jalisco,Guadalajara (Jalisco),Altar (Sonora),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4271,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,Distrito Central,La Técnica,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Jalisco,Guadalajara (Jalisco),Querétaro,Santiago de Querétaro (Querétaro),Sonora,Altar (Sonora),Sonoyta (Sonora),Ninguno (caminando o nadando),Buscar trabajo,Ninguna
4272,Mujer,30,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,Alubarén,La Técnica,Autobús o camioneta,6500,Durango,Victoria de Durango (Durango),Puebla,Heróica Puebla de Zaragoza (Puebla),Puebla,Heróica Puebla de Zaragoza (Puebla),No especificado,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4273,Hombre,24,Sí,Sí,Santa Bárbara,San Marcos,No sabe,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,No responde,No responde,No responde,No responde,No responde,No responde,No responde,No responde,No responde,No responde
4274,Hombre,27,Sí,Sí,Olancho,Patuca,La Técnica,"Balsas (cámaras de llanta, tambos, maderos)",No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,No sabe,No sabe,Chiapas,Palenque (Chiapas),Nuevo León,Monterrey (Nuevo León),Heroica Matamoros (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
4275,Hombre,25,Sí,No,Olancho,Patuca,La Técnica,Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Palenque (Chiapas),Veracruz de Ignacio de la Llave,Tierra Blanca (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,Ninguna
4276,Hombre,30,No,Sí,Santa Bárbara,Petoa,La Técnica,Automóvil/Motocicleta particular,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Arriaga (Chiapas),Nuevo León,Monterrey (Nuevo León),Distrito Federal,Coyoacán (Distrito Federal),Reynosa (Tamaulipas),Tráiler o camión de carga,Trabajar,2
4277,Hombre,26,Sí,Sí,Olancho,Campamento,Tecún Umán,Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Palenque (Chiapas),Veracruz de Ignacio de la Llave,Tierra Blanca (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
4278,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,El Paraíso,Danlí,Naranjo,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Tabasco,Villahermosa (Tabasco),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,2
4279,Hombre,20,Sí,No,Copan,Concepción,La Técnica,Lancha o embarcación en el río,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Tabasco,Tenosique de Pino Suárez (Tabasco),Veracruz de Ignacio de la Llave,Tierra Blanca (Veracruz de Ignacio de la Llave),Distrito Federal,Azcapotzalco (Distrito Federal),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,2
4280,Hombre,21,Sí,No,Copan,Corquín,El Ceibo,Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Tabasco,Tenosique de Pino Suárez (Tabasco),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),San Luis Potosí,San Luis Potosí (San Luis Potosí),Reynosa (Tamaulipas),Ninguno (caminando o nadando),Trabajar,10
4281,Hombre,32,Sí,Sí,Olancho,Campamento,La Técnica,"Balsas (cámaras de llanta, tambos, maderos)",No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Palenque (Chiapas),Puebla,Acajete (Puebla),Veracruz de Ignacio de la Llave,Acayucan (Veracruz de Ignacio de la Llave),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
4282,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,Choluteca,La Técnica,"Balsas (cámaras de llanta, tambos, maderos)",No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Acayucan (Veracruz de Ignacio de la Llave),San Luis Potosí,Cárdenas (San Luis Potosí),Veracruz de Ignacio de la Llave,Acayucan (Veracruz de Ignacio de la Llave),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
4283,Hombre,27,Sí,No,Copan,Concepción,Tecún Umán,"Balsas (cámaras de llanta, tambos, maderos)",No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,México,Alborada Jaltenco (México),San Luis Potosí,Cárdenas (San Luis Potosí),San Luis Potosí,Cárdenas (San Luis Potosí),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
4284,Hombre,32,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Olancho,Gualaco,La Mesilla,Autobús o camioneta,7000,Veracruz de Ignacio de la Llave,Coatzacoalcos (Veracruz de Ignacio de la Llave),Tabasco,Tenosique de Pino Suárez (Tabasco),Tamaulipas,Heroica Matamoros (Tamaulipas),Heroica Matamoros (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4285,Hombre,25,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Atlántida,La Ceiba,Naranjo,Autobús o camioneta,6500,Nuevo León,Monterrey (Nuevo León),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Chiapas,Chiapa de Corzo (Chiapas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4286,Hombre,25,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,Concepción de María,La Técnica,Autobús o camioneta,7000,Chiapas,Arriaga (Chiapas),Nuevo León,Monterrey (Nuevo León),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4287,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Comayagua,Siguatepeque,Tecún Umán,Autobús o camioneta,7500,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),San Luis Potosí,San Luis Potosí (San Luis Potosí),Tamaulipas,Ciudad Miguel Alemán (Tamaulipas),Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4288,Hombre,25,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Cortés,San Pedro Sula,La Técnica,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),No responde,No responde,No responde
4289,Mujer,25,Sí,No,Francisco Morazán,Alubarén,La Técnica,Autobús o camioneta,8000,Chiapas,Chiapa de Corzo (Chiapas),Distrito Federal,No sabe,Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4290,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Comayagua,Siguatepeque,La Mesilla,Autobús o camioneta,7500,Chiapas,Chiapa de Corzo (Chiapas),Veracruz de Ignacio de la Llave,Coatzacoalcos (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4291,Hombre,28,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Colón,Bonito Oriental,La Técnica,Autobús o camioneta,7000,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
